,Fold,Baseline Error,Ridge Error,KNN Error,RF Error,ANN Error,Logistic Error
83,3,0.00034293552812071637,15.882464793996899,0.5625,0.4867495943753379,3.026926356979459,4
84,0,0.01680384087791493,0.016811240929429597,0.004074241738343139,3.8117913832199553,0.46849779088466903,1
85,0,4.535322359396434,4.535348109639494,4.172023540063378,3.4489795918367347,0.37783127298303043,9
86,0,0.7575445816186559,0.757492841651435,0.8764146672702581,6.369614512471655,0.1527748177130981,0
87,1,0.521604938271605,0.8041096729808924,0.49826989619377154,0.0023413111342351677,0.22704183104451658,0
88,1,1.6327160493827158,0.26758960665678144,0.8313148788927334,0.004884957798589423,0.06748920444721307,4
89,1,0.07716049382716043,0.1403598002067471,0.14619377162629757,0.45889698231009346,6.665279976823513,4
90,2,0.13717421124828538,0.02944035530497661,0.15123456790123452,0.11111111111111113,0.03238734378456698,0
91,2,2.6556927297668036,0.1232525893622738,1.4938271604938274,3.3611111111111107,0.40258695580774884,4
92,2,0.39643347050754446,0.3579767916070034,0.7901234567901234,0.44444444444444425,3.482718346685033,1
93,3,0.00034293552812071637,82.55708974471965,1.0,0.649960939847    3651,3.73092971251117,4
94,3,9.111454046639233,2.855432201448878,0.25,5.79353704705246,0.0997897019260563,4
95,3,0.00034293552812071637,95.14138452666495,0.0625,1.3819916170903197,1.6680155952255973,1
96,4,0.5017361111111113,0.5017450700823328,0.32653061224489793,2.2461310392849834e-05,0.004146218417190539,0
97,4,5.251736111111111,5.251702965961353,1.3061224489795917,2.446036701781182,0.6468606343560168,9
98,4,7.3350694444444455,7.33507729729556,7.367346938775511,6.918645133757103,8.296584335687157,4
99,5,2.334104938271605,2.334171607485296,2.613611111111111,0.784103490472583,2.4248238068099823,1
100,5,12.056327160493828,12.05623400104766,12.017777777777779,11.539245964687375,13.85044539347291,16
101,5,2.334104938271605,2.3341244777441412,2.454444444444445,3.9089213915273,11.934405135485804,1
102,6,1.59741512345679,1.5974177873417517,4.760330578512396,4.0,15.435325260923483,4
103,6,27.708526234567906,27.708451991404555,27.80165289256199,39.34710743801653,33.98866281417264,36
104,6,0.5418595679012347,0.5418667808414959,0.669421487603306,6.950413223140497,5.013807882284027,0
105,7,8.185956790123457,8.39771173089033,6.760000000000001,14.151927437641723,5.309717502616479,16
106,7,0.7415123456790125,0.6508605420845721,1.6899999999999995,2.179138321995465,5.122820181077259,4
107,7,8.185956790123457,7.730961325698526,12.25,15.621315192743765,38.74241389861345,1
108,4,7.3350694444444455,7.335086342935373,4.0,4.153096291637654,7.485171883319936,4
109,4,2.918402777777778,2.9184347489888602,5.897959183673469,12.200287504773026,0.4782894059969891,1
110,4,7.3350694444444455,7.335103546435883,2.0408163265306123,2.8306866422587094,4.275405591569381,4
111,5,6.38966049382716,6.389761422133423,6.587777777777779,3.9391643843598856,0.15684394601766716,4
112,5,0.2785493827160493,0.27855616453790905,0.32111111111111135,0.16368509993590127,1.619274550394266,0
113,5,2.334104938271605,2.3341543153658955,2.454444444444445,0.169920167822388,1.2911919752807535,1
114,6,7.48630401234568,7.4862872097847095,4.37190082644628,9.553719008264462,4.518519388369896,4
115,6,5.125192901234568,5.125203150447974,6.479338842975206,6.950413223140496,9.52127912499192,9
116,6,7.48630401234568,7.4862416242131316,6.479338842975206,5.165289256198348,2.6584364304007977,4
117,7,8.185956790123457,5.116784423857405,3.61,4.192743764172335,1.8303959018890623,16
118,7,3.4637345679012346,5.5341141103170735,1.9599999999999997,0.44444444444444453,2.9120244436867893,9
119,7,8.185956790123457,5.919289073010709,2.8899999999999997,2.0408163265306123,1.3322254249178656,16
120,4,7.3350694444444455,7.33510369922149,2.0408163265306123,4.018979807281958,3.746581673739456,4
121,4,0.08506944444444436,0.08506522601648007,0.7346938775510206,0.1901125311650682,1.4297547688775012,1
122,4,2.918402777777778,2.9184077311154115,2.9387755102040822,2.6579816266480987,3.5358259357237785,1
123,5,2.334104938271605,2.334170857513109,2.454444444444445,1.10972554046967,0.03200341982392274,1
124,5,0.2785493827160493,0.27855880077268996,0.23361111111111116,0.717965153545831,0.04158302882621001,0
125,5,2.334104938271605,2.334166890212015,2.667777777777778,2.1258085193170557,4.716155592927919,1
126,6,3.014081790123457,3.0140629592059995,0.6694214876033057,0.00826446280991734,1.7652296437971424,1
127,6,0.06963734567901232,0.06963302382552165,0.03305785123966936,1.3966942148760326,0.2623533562360194,1
128,6,7.48630401234568,7.486340936905093,10.710743801652894,9.0,17.400813257645723,4
129,7,0.7415123456790125,0.7401370371565719,0.09000000000000002,0.3832199546485261,0.4852387164693397,4
130,7,1.2970679012345678,0.828163674048158,0.3600000000000001,1.3061224489795917,12.925480627608522,0
131,7,8.185956790123457,9.569875465528806,7.839999999999999,6.859410430839002,0.5889572329769557,16
132,4,2.918402777777778,2.918415756981569,5.224489795918367,6.745221356213922,10.823895806703376,1
133,4,1.6684027777777775,1.6684029696794098,2.4693877551020416,2.4757754767413127,3.055236955465773,4
134,4,7.3350694444444455,7.3351703078450265,8.16326530612245,9.056961883156262,5.875435148436964,4
135,5,2.334104938271605,2.334148927142416,2.3002777777777776,8.503234077268226,9.92369024984896,1
136,5,6.111882716049383,6.111884435061075,6.002500000000001,3.789114853446768,2.4256499345212887,9
137,5,2.334104938271605,2.334165337226578,2.454444444444445,2.059553639065323,0.3649773778374774,1
138,6,3.014081790123457,3.014117189921436,2.6776859504132227,2.6776859504132227,1.0536244436524744,1
139,6,27.708526234567906,27.708328193182815,26.851239669421485,30.752066115702473,24.597664988906217,36
140,6,3.014081790123457,3.014024779615578,4.0,2.9834710743801645,4.636277044319513,1
141,7,8.185956790123457,6.101747732205754,4.840000000000001,5.4444444444444455,3.4223911437107404,4
142,7,3.4637345679012346,6.102784247460279,5.76,3.8117913832199553,5.7729991165799674,9
143,7,8.185956790123457,6.32121739390235,4.840000000000001,6.859410430839002,1.9622860322443216,16
144,4,2.918402777777778,2.918451577919692,1.6530612244897955,1.9546955369376253,6.707325227603178,1
145,4,2.918402777777778,2.918419876431127,5.897959183673469,3.775746277037802,0.32029458573403247,1
146,4,2.918402777777778,2.91843407643726,5.897959183673469,8.086071741425394,0.3391082154826677,1
147,5,2.334104938271605,2.3340963491221864,2.5600000000000005,4.030592622807529,4.723925291625676,1
148,5,2.334104938271605,2.3340700589823142,2.351111111111111,1.9728454052794129,2.2800229292706717,1
149,5,2.334104938271605,2.334117644344592,2.1511111111111116,3.58394032981761,13.546406906453058,4
